"Process_ID","N","SEED","ATE","SE","SEB","Lower","Upper","Cover","Time_Point","Time_CI"
247,2000,83,0.0732553607724199,0.0463579400353812,0.0466876359034485,-0.0176062016969273,0.164116923241767,1,414.467621326447,8.36849212646484e-05
2480,4000,827,0.0365667625975096,0.0332042258827128,0.033413598893455,-0.0285135201326074,0.101647045327627,1,474.773030042648,6.43730163574219e-05
2481,1000,828,-0.0689748056988412,0.0680603390056538,0.0679165918481153,-0.202373070149923,0.0644234587522403,1,151.457147598267,0.0154829025268555
2482,2000,828,0.136452623019771,0.0471332361449015,0.0479623497773308,0.0440714801757637,0.228833765863778,0,223.270579576492,4.24385070800781e-05
2483,4000,828,-0.0552491937288292,0.0325025039060448,0.0331946916994773,-0.118954101384677,0.00845571392701874,1,470.326817750931,7.15255737304688e-05
2484,1000,829,0.0669907910392805,0.0682533722651848,0.0683271525357237,-0.0667858186004817,0.200767400679043,1,150.834387779236,6.74724578857422e-05
2485,2000,829,-0.0588652974333663,0.0464266118855477,0.0463135796407919,-0.14986145672904,0.0321308618623071,1,310.660264253616,9.25064086914062e-05
2486,4000,829,0.042513861968643,0.033883194458741,0.0337144054645831,-0.0238971991704894,0.108924923107775,1,705.439283370972,5.98430633544922e-05
2487,1000,830,-0.00536469701148726,0.0707830050450995,0.0687161965502028,-0.144099386899882,0.133369992876908,1,105.315841913223,6.29425048828125e-05
2488,2000,830,0.0885602205066551,0.0503438497856356,0.0504076302533606,-0.0101137250731907,0.187234166086501,1,262.04679441452,6.31809234619141e-05
2489,4000,830,-0.0142156362975397,0.0338467271572447,0.0344601408583714,-0.0805552215257393,0.0521239489306599,1,768.86661195755,8.70227813720703e-05
248,4000,83,-0.0285843462445324,0.0326068778224859,0.0333489880932837,-0.0924938267766047,0.0353251342875399,1,466.292606830597,0.000125646591186523
2490,1000,831,0.133533478649124,0.0688719622991584,0.0681315335405871,-0.00145556745722689,0.268522524755474,1,131.168081998825,4.00543212890625e-05
2491,2000,831,-0.007635696497367,0.0473809075521725,0.048148362704556,-0.100502275299625,0.0852308823048911,1,309.274209976196,0.0142204761505127
2492,4000,831,-0.015572190819938,0.0331778464184911,0.0335543708249417,-0.0806007698001806,0.0494563881603046,1,494.09014415741,0.000100135803222656
2493,1000,832,0.0473597680609921,0.0700980631295282,0.067411961388154,-0.0900324356728832,0.184751971794867,1,106.751994132996,6.67572021484375e-05
2494,2000,832,0.036283666685592,0.0461247368669276,0.0474902909353321,-0.0541208175735862,0.12668815094477,1,318.554017305374,0.000110864639282227
2495,4000,832,0.0118372364476525,0.0337794028464408,0.0336593581825708,-0.0543703931313715,0.0780448660266765,1,678.187817335129,8.13007354736328e-05
2496,1000,833,-0.0460720378950959,0.0648024267124337,0.0655209226627613,-0.173084794251466,0.0809407184612741,1,161.994532585144,5.91278076171875e-05
2497,2000,833,-0.126963355662944,0.0458072928365947,0.0462338812564138,-0.21674564962267,-0.0371810617032182,0,218.643762350082,6.15119934082031e-05
2498,4000,833,0.0176081825195734,0.0328980752676231,0.0340099163698924,-0.0468720450049679,0.0820884100441147,1,460.638624429703,8.0108642578125e-05
2499,1000,834,-0.0660342256283316,0.0685113495559098,0.0710057343901091,-0.200316470757915,0.0682480195012516,1,204.141604185104,6.98566436767578e-05
249,1000,84,0.0364866074460313,0.0661940575898242,0.0646631441426483,-0.0932537454300241,0.166226960322087,1,131.832259178162,5.07831573486328e-05
24,1000,9,-0.0877791596793242,0.0654432793029017,0.0653706729911522,-0.216047987113011,0.0404896677543632,1,134.203596353531,5.48362731933594e-05
2500,2000,834,0.104495886254832,0.0491201556186863,0.0491082531020173,0.00822038124220728,0.200771391267458,0,305.04440331459,7.20024108886719e-05
2501,4000,834,-0.0168134948701475,0.033898739184958,0.0340999938614034,-0.0832550236726651,0.0496280339323701,1,484.329491853714,8.51154327392578e-05
2502,1000,835,-0.0723686642121899,0.0720399589536051,0.0702633492896476,-0.213566983761256,0.0688296553368761,1,98.779670715332,4.45842742919922e-05
2503,2000,835,0.00967233591389856,0.0482308315811466,0.0489078939847621,-0.0848600939851488,0.104204765812946,1,218.169114589691,4.76837158203125e-05
2504,4000,835,-0.0298399281975268,0.0334852390081785,0.0342800331024117,-0.0954709966535566,0.035791140258503,1,985.194016933441,8.55922698974609e-05
2505,1000,836,-0.0465749141727419,0.0703606630172086,0.0666450531882015,-0.184481813686471,0.091331985340987,1,165.953818559647,5.74588775634766e-05
2506,2000,836,0.0428170710550905,0.0482107567438139,0.0467863827720238,-0.0516760121627847,0.137310154272966,1,276.067514419556,4.79221343994141e-05
2507,4000,836,0.0578986975938428,0.0331337669714134,0.0337942272815451,-0.00704348567012751,0.122840880857813,1,508.019057273865,6.60419464111328e-05
2508,1000,837,0.0587717838259641,0.0667153837931729,0.0656350288645388,-0.0719903684086547,0.189533936060583,1,122.798138141632,7.62939453125e-05
2509,2000,837,-0.0504996154212754,0.0474513121352377,0.0476469666322393,-0.143504187206341,0.0425049563637905,1,204.103573799133,6.24656677246094e-05
250,2000,84,1.20768186943013e-05,0.0457280683166927,0.0460554105026433,-0.0896149370820233,0.0896390907194119,1,425.274624586105,5.53131103515625e-05
2510,4000,837,0.0190032492210519,0.0330981897612382,0.0341314110075281,-0.0458692027109749,0.0838757011530787,1,660.989032506943,8.70227813720703e-05
2511,1000,838,0.123580008472283,0.0683838594420262,0.0665469947182883,-0.0104523560340883,0.257612372978654,1,102.509603977203,4.60147857666016e-05
2512,2000,838,0.010103041130848,0.0456188047134124,0.0464727481545525,-0.0793098161074403,0.0995158983691364,1,200.905623912811,5.43594360351562e-05
2513,4000,838,0.0127331642917588,0.0333771523109848,0.034223896982091,-0.0526860542377714,0.0781523828212891,1,479.29098200798,7.36713409423828e-05
